CustomerID,MovieID,Rating,Title,Genre,Year
1,365,4,R.E.M.: Tourfilm,Drama,1989.0
1,75,4,Grind,Drama,1997.0
1,379,5,Crash Dive,Drama,1996.0
1,157,4,Laird: White Knuckle Extreme,Drama,2004.0
1,106,4,Stevie Ray Vaughan and Double Trouble: Live at Montreux 1982 & 1985,Drama,2004.0
1,400,4,Rio Lobo,Drama,1970.0
1,382,5,Buried in the Sand: The Deception of America,Drama,2004.0
1,126,4,Vampire Effect (aka Twins Effect),Drama,2003.0
1,69,4,WWE: Armageddon 2003,Drama,2003.0
1,456,5,Emma (Miniseries),Drama,1996.0
1,10,4,Fighter,Action,2001.0
1,196,3,Peter Tosh: Stepping Razor: Red X,Drama,1992.0
1,412,4,Jay Jay the Jet Plane: Adventures in Learning,Animation,1999.0
1,86,5,Iron Monkey 2,Drama,1996.0
1,376,4,Genesis: The Way We Walk: Live in Concert,Drama,2001.0
1,393,5,The Replacement Killers,Thriller,1998.0
1,502,3,Mitch Hedberg: Mitch All Together,Drama,2003.0
1,31,2,Classic Albums: Meat Loaf: Bat Out of Hell,Drama,1999.0
1,319,3,Straight to Hell,Drama,1987.0
1,414,2,Girl,Drama,1999.0
1,497,4,Broadway's Lost Treasures,Drama,2003.0
1,498,3,Glory: Bonus Material,Drama,1989.0
1,283,5,If These Walls Could Talk,Drama,1996.0
1,360,2,Lies,Drama,1999.0
1,78,5,Jingle All the Way,Drama,1996.0
1,468,2,The Matrix: Revolutions,Drama,2003.0
1,504,2,The Twilight Zone: Vol. 27,Drama,1964.0
1,213,3,Dinner Rush,Drama,2001.0
1,103,5,Sanford and Son: Season 6,Drama,1976.0
1,337,3,Star 80,Sci-Fi,1983.0
1,482,4,Frida,Drama,2002.0
1,339,3,Rolling Stones: Rock and Roll Circus,Drama,1968.0
1,446,3,The Underneath,Drama,1995.0
1,175,3,Reservoir Dogs,Drama,1992.0
1,3,4,Character,Drama,1997.0
1,336,4,The Driver,Drama,1978.0
1,415,5,Reign in Darkness,Horror,2002.0
1,71,1,Maya Lin: A Strong Clear Vision,Drama,1995.0
1,211,5,The Agronomist,Drama,2004.0
1,64,4,Outside the Law,Drama,2001.0
1,389,3,Steal,Drama,2002.0
2,376,3,Genesis: The Way We Walk: Live in Concert,Drama,2001.0
2,413,4,Igby Goes Down,Drama,2002.0
2,310,4,Leila,Drama,2000.0
2,354,3,Sadomania,Drama,1981.0
2,16,4,Screamers,Drama,1996.0
2,98,4,The Battle of Algiers: Bonus Material,Action,1965.0
2,258,2,Mann,Drama,1999.0
2,125,3,Nighthawks,Horror,1981.0
2,162,4,John Cleese on How to Irritate People,Drama,1968.0
2,338,5,The Three Stooges: Three Smart Saps,Drama,1942.0
2,295,4,Ace Ventura: When Nature Calls,Documentary,1995.0
2,268,5,The Final Countdown,Drama,1980.0
2,27,3,Sesame Street: Elmo's World: The Street We Live On,Documentary,1962.0
2,266,4,Saudade Do Futuro,Drama,2000.0
2,124,4,Cold Blooded,Drama,2000.0
2,32,1,ABC Primetime: Mel Gibson's The Passion of the Christ,Romance,2004.0
2,60,5,The Libertine,Drama,1969.0
2,262,1,Herbie Rides Again,Drama,1974.0
2,242,5,Neon Genesis Evangelion: The End of Evangelion,Drama,1995.0
2,238,4,Led Zeppelin: The Song Remains the Same,Drama,1976.0
2,463,1,The Twilight Zone: Vol. 12,Drama,1962.0
2,141,1,Goddess of Mercy,Drama,2004.0
2,211,5,The Agronomist,Drama,2004.0
2,484,5,Danielle Steel's Jewels,Drama,1992.0
2,339,2,Rolling Stones: Rock and Roll Circus,Drama,1968.0
2,177,2,Pressure,Drama,2002.0
2,233,4,Chato's Land,Drama,1971.0
2,154,3,Demon Warrior Koji,Action,2000.0
2,136,5,Cat and the Canary,Drama,1927.0
2,442,4,Mississippi Burning,Drama,1988.0
2,445,5,Michael Collins,Drama,1996.0
2,126,5,Vampire Effect (aka Twins Effect),Drama,2003.0
2,324,4,Mother's Boys,Drama,1994.0
2,121,3,Beyonce: Live at Wembley,Drama,2003.0
2,2,3,Isle of Man TT 2004 Review,Drama,2004.0
2,246,3,The Boston Strangler,Drama,1968.0
2,292,5,Saturday Night Live: The Best of Gilda Radner,Horror,2005.0
2,417,3,Transformers: Season 3: Part 1,Drama,1986.0
2,245,4,Road Dogz,Drama,2002.0
2,71,1,Maya Lin: A Strong Clear Vision,Drama,1995.0
2,117,4,Silk Stockings,Drama,1957.0
2,250,5,Cast a Giant Shadow,Drama,1966.0
2,308,2,The Legend of the 7 Golden Vampires/7 Brothers of Dracula,Fantasy,1974.0
2,387,5,Bizet's Carmen,Drama,1984.0
2,239,4,Winnie the Pooh: Springtime with Roo,Drama,2004.0
2,11,1,Full Frame: Documentary Shorts,Documentary,1999.0
2,501,3,Three Days of the Condor,Drama,1975.0
2,430,5,Chobits,Drama,2002.0
2,309,5,The Day of the Locust,Drama,1975.0
2,273,4,Taxi,Drama,2004.0
2,159,5,Gentlemen of Fortune,Drama,1971.0
2,491,2,Torn Curtain,Drama,1966.0
2,194,3,Arliss: The Best of Arliss,Drama,1996.0
2,49,1,Devo: The Complete Truth About De-evolution,Drama,2003.0
2,300,3,Option Zero,Drama,1997.0
2,210,4,Onmyoji,Drama,2001.0
3,338,4,The Three Stooges: Three Smart Saps,Drama,1942.0
3,226,5,Henry: Portrait of a Serial Killer 2,Thriller,1996.0
3,274,2,Crazy as Hell,Comedy,2002.0
3,393,2,The Replacement Killers,Thriller,1998.0
3,161,4,Ninotchka,Drama,1939.0
3,270,4,Sex and the City: Season 4,Drama,2001.0
3,186,4,Panic in the Streets,Drama,1950.0
3,472,5,Mr. Jealousy,Drama,1998.0
3,467,4,Topper Returns,Drama,1941.0
3,433,4,Untamed Heart,Drama,1993.0
3,200,4,The Fall of the Roman Empire,Drama,1964.0
3,255,4,The Hunchback of Notre Dame II,Drama,2001.0
3,60,5,The Libertine,Drama,1969.0
3,493,5,The Giallo Collection: Who Saw Her Die?,Drama,1972.0
3,22,5,Chump Change,Drama,2000.0
3,21,3,Strange Relations,Drama,2002.0
3,58,4,Dragonheart,Drama,1996.0
3,231,3,Marooned in Iraq,Drama,2002.0
3,193,2,Marilyn Manson: Fear of a Satanic Planet,Horror,2005.0
3,229,3,Peter Gabriel: Growing Up Live,Drama,2003.0
3,379,4,Crash Dive,Drama,1996.0
3,471,4,City Lights,Drama,1931.0
3,185,4,Missing in Action 2: The Beginning / Missing in Action 3: Braddock,Action,1985.0
3,92,3,ECW: Cyberslam '99,Sci-Fi,2002.0
3,31,4,Classic Albums: Meat Loaf: Bat Out of Hell,Drama,1999.0
3,486,4,Journey to the Center of the Earth,Drama,1959.0
3,272,2,Female Yakuza Tale,Drama,1973.0
3,386,4,Princess Caraboo,Drama,1994.0
3,66,4,Barbarian Queen 2,Drama,1989.0
3,333,4,Mail Call: The Best of Season 2,Drama,2003.0
3,217,2,Cherry 2000,Drama,1988.0
3,137,5,Naked Lies,Drama,1998.0
3,28,4,Lilo and Stitch,Drama,2002.0
3,343,4,French and Saunders: Live,Drama,2000.0
3,78,3,Jingle All the Way,Drama,1996.0
3,478,4,The Beverly Hillbillies,Drama,1962.0
3,357,4,House of Sand and Fog,Drama,2003.0
3,306,5,Sesame Street: Sing Yourself Silly!,Comedy,2005.0
3,158,2,A Killer Within,Thriller,2004.0
3,259,4,Animal,Drama,2004.0
3,309,4,The Day of the Locust,Drama,1975.0
3,494,3,Monty Python's The Meaning of Life: Special Edition,Drama,1983.0
3,38,3,Daydream Obsession,Drama,2003.0
3,336,3,The Driver,Drama,1978.0
3,213,4,Dinner Rush,Drama,2001.0
3,96,1,Inside the Space Station,Sci-Fi,2000.0
3,24,5,My Bloody Valentine,Romance,1981.0
3,168,3,Smokey and the Bandit Part 3,Drama,1983.0
3,101,4,Complete Shamanic Princess,Drama,1997.0
3,50,4,A Yank in the R.A.F.,Drama,1941.0
3,243,3,Pressure Point,Drama,1962.0
3,440,3,Just 4 Kicks,Drama,2003.0
3,414,1,Girl,Drama,1999.0
3,156,4,Husbands and Wives,Drama,1992.0
3,208,5,The Three Stooges: Sing a Song of Six Pants,Drama,1947.0
3,464,1,The Return of Ruben Blades,Drama,1987.0
3,445,3,Michael Collins,Drama,1996.0
3,23,2,Clifford: Clifford Saves the Day! / Clifford's Fluffiest Friend Cleo,Drama,2001.0
3,205,3,Troy: Bonus Material,Drama,2004.0
3,204,4,Venus Boyz,Drama,2002.0
3,273,5,Taxi,Drama,2004.0
3,175,5,Reservoir Dogs,Drama,1992.0
3,6,5,Sick,Drama,1997.0
3,187,3,Death to Smoochy,Horror,2002.0
3,106,2,Stevie Ray Vaughan and Double Trouble: Live at Montreux 1982 & 1985,Drama,2004.0
3,278,3,100 Days Before the Command,Drama,1990.0
3,317,4,Mandela and de Klerk,Drama,1997.0
3,237,2,Broken Blossoms,Drama,1918.0
3,388,5,Body Chemistry,Drama,1990.0
3,316,5,Futurama: Monster Robot Maniac Fun Collection,Comedy,1999.0
3,275,3,Evelyn,Drama,2002.0
4,136,3,Cat and the Canary,Drama,1927.0
4,461,5,Nightwalker #1: Midnight Detective,Horror,2000.0
4,147,3,Where Sleeping Dogs Lie,Drama,1992.0
4,385,5,The Santa Clause 2,Drama,2002.0
4,428,5,Barney: Barney's Colorful World: Live,Documentary,2004.0
4,193,3,Marilyn Manson: Fear of a Satanic Planet,Horror,2005.0
4,344,4,The Taming of the Shrew,Drama,1967.0
4,191,5,X2: X-Men United,Drama,2003.0
4,372,3,Jeans,Drama,1998.0
4,439,3,Town Without Pity,Drama,1961.0
4,6,3,Sick,Drama,1997.0
4,398,2,In the Realm of the Senses,Documentary,1976.0
4,256,3,Ghost Dog: The Way of the Samurai,Horror,2000.0
4,505,2,A Thousand Acres,Drama,1997.0
4,348,4,The Last Temptation of Christ,Drama,1988.0
4,304,3,King of the Hill: Season 1,Drama,1997.0
4,443,4,Rabbit-Proof Fence,Drama,2002.0
4,308,2,The Legend of the 7 Golden Vampires/7 Brothers of Dracula,Fantasy,1974.0
4,17,4,7 Seconds,Drama,2005.0
4,105,5,Obsessed,Drama,2002.0
4,354,1,Sadomania,Drama,1981.0
4,62,4,Ken Burns' America: Empire of the Air,Drama,1991.0
4,170,5,Tomorrow,Drama,1972.0
4,339,2,Rolling Stones: Rock and Roll Circus,Drama,1968.0
4,457,5,Kill Bill: Vol. 2,Thriller,2004.0
4,286,4,Thunderbirds Are Go,Drama,1966.0
4,455,3,Cardcaptor Sakura: The Movie,Drama,1999.0
4,405,3,Wings of Desire,Drama,1987.0
4,349,4,The Swarm,Action,1978.0
4,58,4,Dragonheart,Drama,1996.0
4,177,4,Pressure,Drama,2002.0
4,82,2,The Frogmen,Drama,1951.0
4,145,4,Get Out Your Handkerchiefs,Drama,1978.0
4,71,2,Maya Lin: A Strong Clear Vision,Drama,1995.0
4,141,3,Goddess of Mercy,Drama,2004.0
4,328,2,Deftones: Live in Hawaii,Drama,2002.0
4,57,3,Richard III,Drama,1995.0
4,345,5,Star Trek: Voyager: Season 5,Sci-Fi,1998.0
4,292,5,Saturday Night Live: The Best of Gilda Radner,Horror,2005.0
4,102,4,Notre Musique,Drama,2004.0
4,326,2,The Plainsman,Drama,1937.0
5,285,3,The Devil's Own,Horror,1997.0
5,477,3,George Carlin: Personal Favorites,Drama,1990.0
5,400,4,Rio Lobo,Drama,1970.0
5,302,2,The Isle,Drama,2001.0
5,163,4,MTV: Making the Band 2: Best of Season 1,Drama,2002.0
5,236,4,Cartoon Crazys Sci-Fi,Comedy,1998.0
5,346,5,Up and Down,Drama,2005.0
5,307,3,Godsmack: Smack This!,Drama,2002.0
5,486,3,Journey to the Center of the Earth,Drama,1959.0
5,420,2,Saturday Night Live: The Best of Dana Carvey,Horror,1999.0
5,61,3,Ricky Martin: One Night Only,Horror,1999.0
5,211,3,The Agronomist,Drama,2004.0
5,371,4,The Trouble with Angels,Drama,1966.0
5,418,5,The Deal,Drama,2004.0
5,1,3,Dinosaur Planet,Sci-Fi,2003.0
5,354,5,Sadomania,Drama,1981.0
5,200,3,The Fall of the Roman Empire,Drama,1964.0
5,35,3,Ferngully 2: The Magical Rescue,Animation,2000.0
5,361,3,The Phantom of the Opera: Special Edition,Drama,2004.0
5,436,1,Girls Just Want to Have Fun,Comedy,1985.0
5,280,5,Sarah Brightman: In Concert,Drama,1998.0
5,430,4,Chobits,Drama,2002.0
5,267,3,Touched by an Angel: Season 1,Drama,1994.0
5,330,4,Wild Things,Drama,1998.0
5,362,4,The Flintstones in Viva Rock Vegas,Drama,2000.0
5,319,2,Straight to Hell,Drama,1987.0
5,41,3,Horror Vision,Horror,2000.0
5,320,4,Eat Your Heart Out,Drama,1997.0
5,384,2,Crossroads,Drama,1986.0
5,260,4,Marat / Sade,Drama,1967.0
5,468,2,The Matrix: Revolutions,Drama,2003.0
